#SampleID	BeeSpecies
PoJ2	O.rufa
PoJ7	O.rufa
PoJ11	O.rufa
PoJ16	O.rufa
PoJ17	O.rufa
PoJ18	O.rufa
PoJ19	O.rufa
PoJ20	O.rufa
PoJ21	O.rufa
PoJ23	O.rufa
PoJ35	O.rufa
PoJ76	O.rufa
PoJ77	H.truncorum
PoJ78	H.truncorum
PoJ151	O.rufa
PoJ204	O.rufa
PoJ267	O.rufa
PoJ270	O.rufa
PoJ306	O.rufa
PoJ350	O.rufa
PoJ384	O.rufa
